tanggal;beras_medium
15/07/2022;11020
16/07/2022;10950
17/07/2022;11060
18/07/2022;11020
19/07/2022;11020
20/07/2022;11040
21/07/2022;11040
22/07/2022;11060
23/07/2022;11050
24/07/2022;11090
25/07/2022;11100
26/07/2022;11080
27/07/2022;11090
28/07/2022;11130
29/07/2022;11090
30/07/2022;11030
31/07/2022;11130
01/08/2022;11090
02/08/2022;11070
03/08/2022;11105
04/08/2022;11140
05/08/2022;11090
06/08/2022;11060
07/08/2022;11080
08/08/2022;11020
09/08/2022;11050
10/08/2022;11060
11/08/2022;11080
12/08/2022;11120
13/08/2022;11170
14/08/2022;11150
15/08/2022;11130
16/08/2022;11120
17/08/2022;11120
18/08/2022;11060
19/08/2022;11120
20/08/2022;11150
21/08/2022;11150
22/08/2022;11120
23/08/2022;11100
24/08/2022;11080
25/08/2022;11130
26/08/2022;11120
27/08/2022;11130
28/08/2022;11120
29/08/2022;11130
30/08/2022;11130
31/08/2022;11150
01/09/2022;11090
02/09/2022;11110
03/09/2022;11150
04/09/2022;11130
05/09/2022;11210
06/09/2022;11200
07/09/2022;11240
08/09/2022;11260
09/09/2022;11280
10/09/2022;11280
11/09/2022;11290
12/09/2022;11340
13/09/2022;11330
14/09/2022;11320
15/09/2022;11330
16/09/2022;11350
17/09/2022;11350
18/09/2022;11350
19/09/2022;11320
20/09/2022;11360
21/09/2022;11320
22/09/2022;11370
23/09/2022;11320
24/09/2022;11350
25/09/2022;11380
26/09/2022;11390
27/09/2022;11380
28/09/2022;11420
29/09/2022;11380
30/09/2022;11380
01/10/2022;11330
02/10/2022;11340
03/10/2022;11380
04/10/2022;11360
05/10/2022;11370
06/10/2022;11370
07/10/2022;11360
08/10/2022;11320
09/10/2022;11320
10/10/2022;11340
11/10/2022;11410
12/10/2022;11370
13/10/2022;11370
14/10/2022;11380
15/10/2022;11360
16/10/2022;11400
17/10/2022;11360
18/10/2022;11380
19/10/2022;11380
20/10/2022;11390
21/10/2022;11410
22/10/2022;11370
23/10/2022;11380
24/10/2022;11340
25/10/2022;11410
26/10/2022;11390
27/10/2022;11410
28/10/2022;11430
29/10/2022;11350
30/10/2022;11360
31/10/2022;11410
01/11/2022;11410
02/11/2022;11410
03/11/2022;11430
04/11/2022;11400
05/11/2022;11380
06/11/2022;11390
07/11/2022;11360
08/11/2022;11360
09/11/2022;11360
10/11/2022;11390
11/11/2022;11400
12/11/2022;11410
13/11/2022;11390
14/11/2022;11410
15/11/2022;11430
16/11/2022;11450
17/11/2022;11440
18/11/2022;11380
19/11/2022;11380
20/11/2022;11420
21/11/2022;11380
22/11/2022;11430
23/11/2022;11460
24/11/2022;11440
25/11/2022;11430
26/11/2022;11420
27/11/2022;11390
28/11/2022;11410
29/11/2022;11390
30/11/2022;11400
01/12/2022;11410
02/12/2022;11460
03/12/2022;11420
04/12/2022;11450
05/12/2022;11440
06/12/2022;11450
07/12/2022;11410
08/12/2022;11490
09/12/2022;11480
10/12/2022;11510
11/12/2022;11510
12/12/2022;11580
13/12/2022;11650
14/12/2022;11600
15/12/2022;11640
16/12/2022;11780
